,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
55,0.34307427406311036,0.010095653268690183,0.0051785469055175785,0.0004028788825175602,0.3,0.1,3,1000,"{'colsample_bytree': 0.3, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",0.816,0.832,0.824,0.8629032258064516,0.8225806451612904,0.8314967741935483,0.016507376713219266,32
152,0.013563394546508789,0.0011973382846523744,0.0023941993713378906,0.00048890860496139,1,0.1,5,10,"{'colsample_bytree': 1, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10}",0.84,0.816,0.824,0.8709677419354839,0.8064516129032258,0.8314838709677419,0.0226003232229426,33
74,0.25125918388366697,0.00767548927247354,0.004374265670776367,0.00048382570748222635,0.3,0.005,5,500,"{'colsample_bytree': 0.3, 'learning_rate': 0.005, 'max_depth': 5, 'n_estimators': 500}",0.832,0.808,0.848,0.8387096774193549,0.8306451612903226,0.8314709677419355,0.013247309035050656,34
124,0.013570356369018554,0.0004963289706423236,0.0013967990875244141,0.0004886944799204637,0.7,0.005,10,10,"{'colsample_bytree': 0.7, 'learning_rate': 0.005, 'max_depth': 10, 'n_estimators': 10}",0.84,0.816,0.832,0.8548387096774194,0.8145161290322581,0.8314709677419355,0.015138646095973929,34
14,0.1747222900390625,0.0027822666337012267,0.003991127014160156,0.0006319623977420881,0.1,0.1,10,500,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 500}",0.824,0.808,0.856,0.8306451612903226,0.8387096774193549,0.8314709677419355,0.015883677051304425,34
15,0.34209775924682617,0.007892423511664377,0.006376886367797851,0.0004946451730197458,0.1,0.1,10,1000,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 1000}",0.808,0.816,0.864,0.8467741935483871,0.8225806451612904,0.8314709677419355,0.020792314276830082,34
137,0.07400116920471192,0.0026404942716887684,0.0021948814392089844,0.0004185940461913164,0.7,0.0001,5,100,"{'colsample_bytree': 0.7, 'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 100}",0.84,0.832,0.824,0.8387096774193549,0.8225806451612904,0.8314580645161291,0.007214922678808569,38
140,0.013961315155029297,4.264961199760036e-07,0.0015969276428222656,0.0004883385695400852,0.7,0.0001,10,10,"{'colsample_bytree': 0.7, 'learning_rate': 0.0001, 'max_depth': 10, 'n_estimators': 10}",0.832,0.824,0.84,0.8387096774193549,0.8225806451612904,0.8314580645161291,0.007214922678808569,38
10,0.1507956027984619,0.003362873808560802,0.0035900115966796876,0.0004886364110822502,0.1,0.1,5,500,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",0.808,0.8,0.848,0.8548387096774194,0.8387096774193549,0.8299096774193548,0.02191245850353387,40
7,0.26511030197143554,0.005709315554007705,0.0047795772552490234,0.0003954871694838612,0.1,0.1,3,1000,"{'colsample_bytree': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 1000}",0.816,0.816,0.84,0.8467741935483871,0.8306451612903226,0.8298838709677419,0.012439633214276208,41
