,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
494,0.4768716812133789,0.025404482921094942,0.047873306274414065,0.0012606357008545527,entropy,5,1,500,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 1, 'n_estimators': 500}",0.832,0.792,0.824,0.8064516129032258,0.8387096774193549,0.8186322580645161,0.01713626115609789,209
205,0.09674034118652344,0.0022843662094827115,0.011769866943359375,0.0007248127238056711,gini,5,3,100,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 3, 'n_estimators': 100}",0.816,0.8,0.832,0.8064516129032258,0.8387096774193549,0.8186322580645161,0.014725876762012835,209
199,0.22977700233459472,0.005274498303810132,0.025531768798828125,0.000818490613975631,gini,5,1,250,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 1, 'n_estimators': 250}",0.84,0.776,0.832,0.7903225806451613,0.8548387096774194,0.8186322580645161,0.030216324467214943,209
207,0.48370561599731443,0.021371505908723977,0.04887714385986328,0.0019053386862514666,gini,5,3,500,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 3, 'n_estimators': 500}",0.832,0.784,0.832,0.7983870967741935,0.8467741935483871,0.8186322580645161,0.02348881195805425,209
459,0.502863883972168,0.016751031871595247,0.048079395294189455,0.000754511108397342,entropy,4,5,500,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 5, 'n_estimators': 500}",0.832,0.784,0.84,0.7903225806451613,0.8467741935483871,0.8186193548387097,0.026184253872976695,214
128,0.09833717346191406,0.002427073241525083,0.010579347610473633,0.0004950409608480568,gini,3,9,100,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'n_estimators': 100}",0.832,0.8,0.832,0.7903225806451613,0.8387096774193549,0.8186064516129032,0.01954017074215766,215
428,0.055651092529296876,0.003065759177312456,0.006390285491943359,0.0004833014861286074,entropy,3,11,50,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 11, 'n_estimators': 50}",0.84,0.784,0.84,0.7903225806451613,0.8387096774193549,0.8186064516129032,0.02575690728004187,215
131,0.7402274131774902,0.007925712637836911,0.06941423416137696,0.002049603588191981,gini,3,9,750,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'n_estimators': 750}",0.832,0.8,0.832,0.7903225806451613,0.8387096774193549,0.8186064516129032,0.01954017074215766,215
132,1.0645427703857422,0.11040035512057633,0.1106964111328125,0.040921818659241396,gini,3,9,1000,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 9, 'n_estimators': 1000}",0.84,0.792,0.832,0.7903225806451613,0.8387096774193549,0.8186064516129032,0.022579155711245583,215
431,0.5221737384796142,0.01226815267199373,0.05307826995849609,0.013424324476432036,entropy,3,11,500,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 11, 'n_estimators': 500}",0.832,0.8,0.832,0.7903225806451613,0.8387096774193549,0.8186064516129032,0.01954017074215766,215
168,0.013556241989135742,0.001744781116145823,0.0029984474182128905,1.405545771739955e-05,gini,4,7,10,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 7, 'n_estimators': 10}",0.848,0.808,0.816,0.7903225806451613,0.8306451612903226,0.8185935483870969,0.0196376075312791,220
422,0.10352740287780762,0.0076034400071461295,0.010978412628173829,1.5880467196562775e-05,entropy,3,9,100,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 9, 'n_estimators': 100}",0.832,0.8,0.84,0.7903225806451613,0.8306451612903226,0.8185935483870969,0.019637607531279088,220
561,0.06761126518249512,0.0040165065796138365,0.007188606262207031,0.0003946344595270793,entropy,,7,50,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 7, 'n_estimators': 50}",0.832,0.816,0.824,0.8467741935483871,0.7741935483870968,0.8185935483870967,0.024418017605180604,222
426,1.022671890258789,0.017978516318038547,0.09374942779541015,0.002877214662915175,entropy,3,9,1000,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 9, 'n_estimators': 1000}",0.84,0.8,0.832,0.782258064516129,0.8387096774193549,0.8185935483870967,0.02327494443605743,222
143,0.2832503318786621,0.008558983317176746,0.02413496971130371,0.0009936135242769048,gini,3,,250,"{'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'n_estimators': 250}",0.856,0.784,0.84,0.7983870967741935,0.8145161290322581,0.8185806451612903,0.026378466922276095,224
144,0.5622942447662354,0.014902908679730644,0.050665855407714844,0.005931160622164859,gini,3,,500,"{'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'n_estimators': 500}",0.856,0.784,0.84,0.7983870967741935,0.8145161290322581,0.8185806451612903,0.026378466922276095,224
146,1.1321677684783935,0.011588430076506067,0.09195656776428222,0.002626462272387024,gini,3,,1000,"{'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'n_estimators': 1000}",0.856,0.784,0.84,0.7983870967741935,0.8145161290322581,0.8185806451612903,0.026378466922276095,224
145,0.8495576858520508,0.013063395395250485,0.0711789608001709,0.0029237558754154386,gini,3,,750,"{'criterion': 'gini', 'max_depth': 3, 'max_features': None, 'n_estimators': 750}",0.856,0.784,0.84,0.7983870967741935,0.8145161290322581,0.8185806451612903,0.026378466922276095,224
148,0.04885363578796387,0.0029582074718492086,0.006797599792480469,0.0003870636570666297,gini,4,1,50,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 1, 'n_estimators': 50}",0.84,0.76,0.816,0.8064516129032258,0.8629032258064516,0.8170709677419354,0.03463336376293675,228
262,0.2966149806976318,0.008913161949439532,0.027716779708862306,0.0009935837066126591,gini,,5,250,"{'criterion': 'gini', 'max_depth': None, 'max_features': 5, 'n_estimators': 250}",0.816,0.8,0.808,0.8548387096774194,0.8064516129032258,0.8170580645161291,0.019565375350119173,229
395,0.23057479858398439,0.010498660377082112,0.025340700149536134,0.0010203482647383624,entropy,3,1,250,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'n_estimators': 250}",0.84,0.776,0.808,0.7983870967741935,0.8629032258064516,0.8170580645161291,0.03080431608879234,229
269,0.3600285530090332,0.05457875533397451,0.029335689544677735,0.0020442355246221592,gini,,7,250,"{'criterion': 'gini', 'max_depth': None, 'max_features': 7, 'n_estimators': 250}",0.816,0.792,0.816,0.8629032258064516,0.7983870967741935,0.8170580645161291,0.02482148040907776,229
447,1.1357613563537599,0.24257994879110964,0.11309752464294434,0.017914509852945244,entropy,4,1,1000,"{'criterion': 'entropy', 'max_depth': 4, 'max_features': 1, 'n_estimators': 1000}",0.816,0.792,0.816,0.8225806451612904,0.8387096774193549,0.8170580645161291,0.015029549804491898,229
396,0.4627171516418457,0.007752349761761698,0.05405769348144531,0.012976712648938042,entropy,3,1,500,"{'criterion': 'entropy', 'max_depth': 3, 'max_features': 1, 'n_estimators': 500}",0.832,0.784,0.808,0.8064516129032258,0.8548387096774194,0.8170580645161291,0.0242405427453894,229
103,0.6907345294952393,0.016531029151755135,0.06883931159973145,0.001535102756084227,gini,3,1,750,"{'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'n_estimators': 750}",0.832,0.776,0.816,0.8064516129032258,0.8548387096774194,0.817058064516129,0.02626792554791967,234
197,0.05027227401733399,0.002339399713042302,0.0063765525817871095,0.0004793458606024857,gini,5,1,50,"{'criterion': 'gini', 'max_depth': 5, 'max_features': 1, 'n_estimators': 50}",0.84,0.768,0.824,0.8064516129032258,0.8467741935483871,0.8170451612903225,0.02820198884507789,235
558,0.954797887802124,0.02933779720865755,0.08535614013671874,0.009370372464762352,entropy,,5,750,"{'criterion': 'entropy', 'max_depth': None, 'max_features': 5, 'n_estimators': 750}",0.824,0.792,0.816,0.8548387096774194,0.7983870967741935,0.8170451612903225,0.022150385634722245,235
497,0.014378976821899415,0.0017381075042939335,0.00319056510925293,0.0004018368267295693,entropy,5,3,10,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 3, 'n_estimators': 10}",0.832,0.776,0.824,0.8145161290322581,0.8387096774193549,0.8170451612903225,0.022056606769519718,235
250,0.8289709091186523,0.014184423187295566,0.07978496551513672,0.0014004019875257492,gini,,1,750,"{'criterion': 'gini', 'max_depth': None, 'max_features': 1, 'n_estimators': 750}",0.824,0.808,0.808,0.8548387096774194,0.7903225806451613,0.8170322580645163,0.021699988251482172,238
